ITEM: TIMESTEP
4080000
ITEM: NUMBER OF ATOMS
9276
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type q x y z 
292 4 1.69899 44.9404 29.2464 49.1 
293 3 -0.723457 34.8172 24.8278 0.510608 
294 3 -0.800667 40.3256 25.2172 24.3883 
295 4 1.52915 9.79811 28.5991 30.6712 
296 3 -0.800928 20.8149 21.6323 11.5169 
297 3 -0.808111 34.364 40.9108 18.1107 
298 4 1.59324 34.3479 23.8555 14.3135 
299 3 -0.773725 49.8468 2.14807 20.5007 
300 3 -0.70138 14.7383 36.3002 16.9447 
301 4 1.62292 7.46982 36.2842 23.2482 
302 3 -0.879847 16.9989 38.6088 5.77622 
303 3 -0.790125 29.1825 9.94178 1.49522 
304 4 1.56917 21.2447 8.30266 42.3756 
305 3 -0.794684 38.357 3.86305 38.3452 
306 3 -0.851551 34.762 38.9706 7.16886 
307 4 1.47723 39.0597 8.18743 40.206 
308 3 -0.738946 36.0871 46.1137 10.1142 
309 3 -0.680634 44.2576 42.5017 11.9574 
310 4 1.49977 20.9928 11.1116 12.8128 
311 3 -0.632881 8.10104 32.0458 6.06508 
312 3 -0.77153 34.1122 13.3252 19.6932 
313 4 1.48419 40.2017 5.0062 30.2801 
314 3 -0.773657 24.2946 24.392 22.7476 
315 3 -0.922309 5.38964 0.88416 14.5208 
316 4 1.05265 42.8113 44.6683 0.0769722 
317 3 -0.701241 20.4115 18.9764 24.4593 
318 3 -0.830578 2.8861 4.0998 35.0805 
319 4 0.970751 23.3711 15.3009 14.3601 
320 3 -0.764735 1.72936 11.7767 26.3871 
321 3 -0.83617 33.9708 13.0162 25.1038 
322 4 1.52845 36.6975 12.9596 31.6472 
323 3 -0.706426 41.3527 49.1727 27.4114 
324 3 -0.819158 32.9823 20.3606 5.19569 
325 4 1.42404 9.11449 6.83876 30.9752 
326 3 -0.885909 22.0734 30.0735 30.7924 
327 3 -0.797689 27.4995 34.0802 5.35646 
328 4 1.61456 34.1055 40.3512 6.94053 
329 3 -0.82262 48.2916 47.2254 35.207 
330 3 -0.838585 24.5334 15.9095 46.4472 
331 4 1.609 8.79212 25.9648 9.67899 
332 3 -0.826802 37.405 25.6666 32.0208 
333 3 -0.886716 13.7877 3.00227 30.7793 
334 4 1.34846 47.4071 17.647 45.8281 
335 3 -0.73739 41.8804 1.18483 46.3657 
336 3 -0.84488 10.0405 13.1429 43.3985 
337 4 1.50188 16.628 9.18563 11.8777 
338 3 -0.90578 31.6102 3.47871 18.4649 
339 3 -0.816148 49.5877 2.64053 33.312 
340 4 1.51706 9.80347 18.8546 26.3311 
341 3 -0.834356 44.7814 10.3048 37.5603 
342 3 -0.863125 38.4746 9.86507 2.45652 
343 4 1.57102 36.2444 35.6194 32.2465 
344 3 -0.665354 12.014 41.166 37.6645 
345 3 -0.858887 20.9651 2.92151 10.6324 
346 4 1.68346 36.6029 9.33882 33.9125 
347 3 -0.819176 44.5988 11.1729 44.3995 
348 3 -0.84101 45.3292 0.564122 9.17034 
349 4 1.5536 17.1241 25.9497 19.7116 
350 3 -0.846612 41.2491 40.5012 25.8283 
351 3 -0.772089 10.188 46.3366 31.6655 
352 4 1.64224 11.4934 17.9777 3.65078 
353 3 -0.751377 36.8732 43.7471 26.5702 
354 3 -0.754883 19.625 24.4354 46.3416 
355 4 1.55927 36.6119 3.38682 29.3687 
356 3 -0.766205 37.2049 35.3915 28.1329 
357 3 -0.816236 15.4511 48.2684 14.2012 
358 4 1.51086 31.8566 31.9939 26.0451 
359 3 -0.856751 36.6539 45.2276 17.966 
360 3 -0.763322 4.85233 22.2401 41.5743 
361 4 1.26412 1.3844 44.7154 48.9516 
362 3 -0.829079 19.3447 13.2669 42.8781 
363 3 -0.808888 30.1643 49.0301 22.8129 
364 4 1.21279 33.3242 25.702 29.4073 
365 3 -0.86269 9.27926 33.3525 23.0762 
366 3 -0.709692 1.27863 36.0336 35.5185 
367 4 1.50775 40.6595 22.1324 41.4405 
368 3 -0.776731 13.5211 45.642 37.4515 
369 3 -0.820873 34.2534 18.0023 29.2866 
370 4 1.42757 18.4747 20.7087 42.4618 
371 3 -0.882683 3.43413 40.1926 34.7319 
372 3 -0.765017 9.34425 6.74838 15.5548 
373 4 1.44875 43.7254 30.5735 17.8916 
374 3 -0.827072 4.18379 38.0275 39.279 
375 3 -0.792807 42.7474 19.8201 38.9401 
376 4 1.41054 5.95581 30.5643 13.9138 
377 3 -0.853917 35.3635 8.47422 42.6235 
378 3 -0.80658 12.1692 6.44426 9.68001 
379 4 1.38245 11.747 14.9162 11.7093 
380 3 -0.736677 30.2594 24.042 6.34419 
381 3 -0.787784 4.29257 46.4632 44.1358 
382 4 1.45103 14.2506 46.3924 36.2212 
383 3 -0.871176 17.8429 4.97796 31.7276 
384 3 -0.773036 41.7504 2.1667 35.7568 
385 4 1.53904 8.44195 16.5948 30.5892 
386 3 -0.91752 41.6132 36.3131 5.53186 
387 3 -0.799222 17.7758 22.3335 1.5515 
388 4 1.68163 41.842 14.2881 36.6632 
389 3 -0.724657 42.6396 14.1058 7.59591 
390 3 -0.68649 34.3287 46.0731 33.1454 
391 4 1.63521 42.9201 34.9914 32.1538 
392 3 -0.796819 28.7159 20.1078 21.8142 
393 3 -0.748749 40.4935 2.42776 42.4672 
394 4 1.43637 49.7557 39.5869 35.8569 
395 3 -0.747077 3.41446 24.786 12.1373 
396 3 -0.713261 2.90149 27.2686 35.7923 
397 4 1.29725 47.2419 31.7523 21.6056 
398 3 -0.804392 18.1633 43.039 5.67029 
399 3 -0.851819 22.0287 43.2202 47.0222 
400 4 1.45901 26.3154 32.9649 15.0841 
401 3 -0.808598 24.7959 33.8359 20.8404 
402 3 -0.824008 44.3429 31.8368 1.45506 
403 4 1.53814 49.0329 8.24191 6.54143 
404 3 -0.845045 0.582521 0.491224 14.5985 
405 3 -0.806888 1.23395 21.8802 44.2598 
406 4 1.42071 5.62442 42.7526 29.868 
407 3 -0.790395 36.3424 3.41253 33.4797 
408 3 -0.672514 43.0407 2.69791 37.9762 
409 4 1.68479 37.1738 0.134786 15.4851 
410 3 -0.824076 10.8431 27.6032 15.7447 
411 3 -0.750846 12.0835 41.1293 11.9324 
412 4 1.68824 8.04062 7.92497 3.33408 
413 3 -0.831788 42.6519 17.9889 36.198 
414 3 -0.796851 38.7377 38.1853 14.2225 
415 4 1.4414 46.8249 30.3269 6.72195 
416 3 -0.769662 38.0572 40.397 35.4757 
417 3 -0.836312 23.9686 45.0446 36.8221 
418 4 1.64588 18.457 12.3705 21.2263 
419 3 -0.839186 32.7378 43.2356 39.0055 
420 3 -0.81449 49.6268 31.3954 17.282 
421 4 1.55586 19.4558 6.01566 23.8919 
422 3 -0.859649 36.1488 29.9046 47.1704 
423 3 -0.770429 22.0006 27.2653 2.00269 
424 4 1.67861 3.93392 29.3228 1.50732 
425 3 -0.903374 42.4648 37.5141 7.52207 
426 3 -0.757987 44.8556 3.55522 47.8934 
427 4 1.48393 46.2029 0.304478 36.7962 
428 3 -0.821464 46.9332 27.7471 31.9911 
429 3 -0.807225 31.2319 7.04794 10.3064 
430 4 1.52603 40.8269 33.1298 10.7728 
431 3 -0.621016 7.28722 41.461 24.1367 
432 3 -0.783541 23.9039 36.1792 9.78315 
433 4 1.71877 47.2308 4.99123 2.39891 
434 3 -0.824143 47.8888 30.5786 15.8292 
435 3 -0.91688 19.4728 35.6411 4.94907 
436 4 1.57362 41.2663 16.7781 23.6448 
437 3 -0.761282 30.5959 40.0376 5.80693 
438 3 -0.871299 46.8903 3.56146 43.2969 
439 4 1.38347 32.6591 47.9879 8.62496 
440 3 -0.723827 23.7735 14.0887 12.5957 
441 3 -0.729462 16.1113 38.0567 44.0609 
442 4 1.49473 10.1011 31.8751 16.6081 
443 3 -0.808322 16.124 40.5801 32.2096 
444 3 -0.885848 21.6718 38.3543 47.6997 
